,hour,demand,forecast
0,502,0.0,0.0
1,503,0.0,4.0
2,504,4.0,0.0
3,505,0.0,0.0
4,506,0.0,0.0
5,507,0.0,6.0
6,508,6.0,0.0
7,509,0.0,0.0
8,510,0.0,0.0
9,511,0.0,7.0
10,512,7.0,0.0
11,513,0.0,0.0
12,514,0.0,0.0
13,515,0.0,2.0
14,516,2.0,0.0
15,517,0.0,0.0
16,518,0.0,0.0
17,519,0.0,7.0
18,520,7.0,0.0
19,521,0.0,0.0
20,522,0.0,0.0
21,523,0.0,9.0
22,524,9.0,0.0
23,525,0.0,0.0
24,526,0.0,0.0
25,527,0.0,11.0
26,528,11.0,0.0
27,529,0.0,0.0
28,530,0.0,0.0
29,531,0.0,10.0
30,532,10.0,0.0
31,533,0.0,0.0
32,534,0.0,0.0
33,535,0.0,5.0
34,536,5.0,0.0
35,537,0.0,0.0
36,538,0.0,0.0
37,539,0.0,4.0
38,540,4.0,0.0
39,541,0.0,0.0
40,542,0.0,0.0
41,543,0.0,10.0
42,544,10.0,0.0
43,545,0.0,0.0
44,546,0.0,0.0
45,547,0.0,15.0
46,548,15.0,0.0
47,549,0.0,0.0
48,550,0.0,0.0
49,551,0.0,8.0
50,552,8.0,0.0
51,553,0.0,0.0
52,554,0.0,0.0
53,555,0.0,11.0
54,556,11.0,0.0
55,557,0.0,0.0
56,558,0.0,0.0
57,559,0.0,0.0
